country,malaria_incidence
Afghanistan,29.01
Algeria,0.0
Angola,228.9
Argentina,0.0
Armenia,0.0
Azerbaijan,0.0
Bangladesh,0.69
Belize,0.011000000000000001
Benin,386.2
Bhutan,0.011000000000000001
Botswana,0.59
Brazil,5.12
Burkina Faso,398.7
Burundi,250.3
Cabo Verde,0.013999999999999999
Cambodia,23.69
Cameroon,246.0
Central African Republic,347.3
Chad,164.8
China,0.0
Colombia,8.5
Comoros,18.76
Congo,235.1
Costa Rica,0.04
Cote d'Ivoire,330.6
Djibouti,35.21
Dominican Republic,0.12
Ecuador,3.32
Egypt,0.0
El Salvador,0.0
Equatorial Guinea,269.0
Eritrea,28.88
Eswatini,0.84
Ethiopia,31.81
Gabon,248.2
Gambia,65.0
Georgia,0.0
Ghana,224.3
Guatemala,0.27
Guinea,283.9
Guinea-Bissau,123.3
Guyana,44.37
Haiti,1.61
Honduras,0.13
India,5.33
Indonesia,3.87
Iraq,0.0
Kazakhstan,0.0
Kenya,70.1
Kyrgyzstan,0.0
Liberia,361.5
Madagascar,82.4
Malawi,213.6
Malaysia,0.0
Mali,386.8
Mauritania,39.41
Mexico,0.3
Morocco,0.0
Mozambique,305.4
Namibia,26.71
Nepal,0.44
Nicaragua,7.14
Niger,356.6
Nigeria,291.9
Oman,0.0
Pakistan,3.38
Panama,0.19
Papua New Guinea,184.5
Paraguay,0.0
Peru,4.65
Philippines,0.18
Rwanda,486.5
Saudi Arabia,0.023
Senegal,55.75
Sierra Leone,320.4
Solomon Islands,133.6
Somalia,34.27
South Africa,1.65
South Sudan,235.9
Sri Lanka,0.0
Sudan,46.75
Suriname,0.34
Tajikistan,0.0
Thailand,0.36
Timor-Leste,0.0
Togo,267.3
Turkey,0.0
Turkmenistan,0.0
Uganda,289.2
United Arab Emirates,0.0
Uzbekistan,0.0
Vanuatu,3.99
Yemen,45.84
Zambia,156.7
Zimbabwe,51.0
